adult_polyP	IP_polyP	LTR_type	family	HOG	cons	strand	length	sFam	div	rpkm_IP_polyP	rpkm_adult_polyP	LTR_type2	species	log2RPKM_centered
soloLTR_As:986	21.8311814804596	26.0786712659363	soloLTR	rnd-4_family-946	N0.HOG0000010_OG0000006_n0	HC	As	792	LTR/Pao	8.9	32.927615234768	27.5646230813884	soloLTR	heligmosomoides_bakeri	1.67659006033604
soloLTR_As:1022	14.1312665825989	13.9196363104318	soloLTR	rnd-5_family-8986	N0.HOG0000003_OG0000003_n0	C	As	336	LTR/Gypsy	13.8	41.4274890191423	42.0573410196397	soloLTR	heligmosomoides_bakeri	2.00788041015467
soloLTR_As:1070	2.57670290159651	2.37835906578623	soloLTR	rnd-4_family-946	N0.HOG0000010_OG0000006_n0	HC	As	761	LTR/Pao	16.4	3.12530757659162	3.38594336609265	soloLTR	heligmosomoides_bakeri	-1.72063788449909
soloLTR_As:1102	2.88811715202463	3.3425846371015	soloLTR	rnd-4_family-1483	N0.HOG0000003_OG0000003_n0	C	As	227	LTR/Gypsy	20.1	14.7250424541916	12.7229830485667	soloLTR	heligmosomoides_bakeri	0.515563824586687
soloLTR_As:1124	5.0658123537901	6.30097937547715	soloLTR	rnd-4_family-946	N0.HOG0000010_OG0000006_n0	HC	As	714	LTR/Pao	16.6	8.82490108610245	7.09497528542031	soloLTR	heligmosomoides_bakeri	-0.223055955809696
soloLTR_As:1148	1.40918580226911	2.47313999929787	soloLTR	rnd-4_family-2781	N0.HOG0000016_OG0000008_n0	HC	As	591	LTR/Pao	12.5	4.18467004957339	2.38440914089527	soloLTR	heligmosomoides_bakeri	-1.29952218935611
soloLTR_As:1168	4.95599679253358	2.62849659072187	soloLTR	rnd-5_family-68	N0.HOG0000027_OG0000016_n0	C	As	307	LTR/Pao	0.7	8.56187814567385	16.1433120277967	soloLTR	heligmosomoides_bakeri	-0.266708760875148
soloLTR_As:1192	7.37778187705233	3.80154033133968	soloLTR	rnd-5_family-4164	N0.HOG0000016_OG0000008_n0	HC	As	470	LTR/Pao	18.9	8.08838368370146	15.6974082490475	soloLTR	heligmosomoides_bakeri	-0.348784628732845
soloLTR_As:1216	4.43357771657945	2.76573526456379	soloLTR	rnd-1_family-819	N0.HOG0000010_OG0000006_n0	HC	As	331	LTR/Pao	20.5	8.35569566333472	13.3944946120225	soloLTR	heligmosomoides_bakeri	-0.30187611726734
soloLTR_As:1220	13.5528609168267	14.2651646093448	soloLTR	rnd-3_family-522	N0.HOG0000010_OG0000006_n0	HC	As	489	LTR/Pao	5.5	29.1721157655312	27.7154619976007	soloLTR	heligmosomoides_bakeri	1.50188205539831
soloLTR_As:1246	73.9619770525822	82.2096239628147	soloLTR	rnd-5_family-4189	N0.HOG0000032_OG0000021_n0	C	As	136	LTR/Pao	13.5	604.482529138343	543.838066563104	soloLTR	heligmosomoides_bakeri	5.87492076898501
soloLTR_As:1296	16.2897214669841	40.5431044436293	soloLTR	rnd-4_family-230-2	N0.HOG0000009_OG0000005_n23	HC	As	423	LTR/Gypsy	6	95.8465826090528	38.5099798273857	soloLTR	heligmosomoides_bakeri	3.21801902485363
soloLTR_As:1328	14.0994706099513	22.1089683128482	soloLTR	rnd-1_family-977	N0.HOG0000010_OG0000006_n0	HC	As	787	LTR/Pao	13.5	28.0927170430092	17.9154645615646	soloLTR	heligmosomoides_bakeri	1.44748819538253
soloLTR_As:1342	5.97582733377345	8.30776702653585	soloLTR	rnd-3_family-2400	N0.HOG0000003_OG0000003_n0	C	As	547	LTR/Gypsy	20.2	15.1878739059156	10.9247300434615	soloLTR	heligmosomoides_bakeri	0.560211957500994
soloLTR_As:1398	0.745988097495304	1.93585569308062	soloLTR	rnd-5_family-3867	N0.HOG0000009_OG0000005_n23	HC	As	202	LTR/Gypsy	25	9.58344402515156	3.69301038364012	soloLTR	heligmosomoides_bakeri	-0.104091849933017
soloLTR_As:1400	89.1366635158511	99.8319400648262	soloLTR	rnd-5_family-461	N0.HOG0000010_OG0000006_n0	HC	As	889	LTR/Pao	27.9	112.296895460997	100.266213178685	soloLTR	heligmosomoides_bakeri	3.44653816974904
soloLTR_As:1464	2.6665580717218	5.52417744030121	soloLTR	rnd-5_family-246	N0.HOG0000003_OG0000003_n0	C	As	189	LTR/Gypsy	19.3	29.2284520650857	14.1087728662529	soloLTR	heligmosomoides_bakeri	1.50466545728014
soloLTR_As:1530	2.58535280662667	3.53649946674853	soloLTR	rnd-5_family-7461	no_RT	Other	As	205	LTR/Gypsy	17.8	17.2512169109684	12.611477105496	soloLTR	heligmosomoides_bakeri	0.743990165085081
soloLTR_As:1556	10.1763126321482	8.06222992429948	soloLTR	rnd-1_family-819	N0.HOG0000010_OG0000006_n0	HC	As	752	LTR/Pao	23.6	10.7210504312493	13.5323306278566	soloLTR	heligmosomoides_bakeri	0.0577382967063489
soloLTR_As:1566	27.4596553387734	20.9694618749221	soloLTR	rnd-4_family-613	N0.HOG0000010_OG0000006_n0	HC	As	799	LTR/Pao	13.4	26.2446331350714	34.367528584197	soloLTR	heligmosomoides_bakeri	1.34931446178887
soloLTR_As:1614	10.4273461888253	10.5274035634321	soloLTR	rnd-5_family-4970	N0.HOG0000010_OG0000006_n0	HC	As	324	LTR/Pao	18.8	32.4919863068891	32.1831672494607	soloLTR	heligmosomoides_bakeri	1.65737597254723
soloLTR_As:1618	5.82922416738199	10.5453700992269	soloLTR	rnd-5_family-4242	N0.HOG0000047_OG0000033_n0	C	As	826	LTR/Gypsy	3	12.766791887684	7.05717211547456	soloLTR	heligmosomoides_bakeri	0.309688072989458
soloLTR_As:1688	198.488452429101	224.151916035491	soloLTR	rnd-4_family-946	N0.HOG0000010_OG0000006_n0	HC	As	785	LTR/Pao	5.2	285.543842083428	252.851531756816	soloLTR	heligmosomoides_bakeri	4.79293239832144
soloLTR_As:1802	3.98448374841097	2.24285064072184	soloLTR	rnd-4_family-915	N0.HOG0000009_OG0000005_n23	HC	As	193	LTR/Gypsy	2.1	11.6209877757608	20.6449935150827	soloLTR	heligmosomoides_bakeri	0.174024733064416
soloLTR_As:1854	149.685544786867	167.175706880457	soloLTR	rnd-4_family-356	no_RT	Other	As	299	LTR/Pao	19.9	559.116076523269	500.620551126647	soloLTR	heligmosomoides_bakeri	5.76236795397859
soloLTR_As:1910	6.55808110888824	7.74823922432725	soloLTR	rnd-5_family-3723	N0.HOG0000026_OG0000015_n0	C	As	453	LTR/Gypsy	16.1	17.1042808484045	14.4770002403714	soloLTR	heligmosomoides_bakeri	0.731649478139803
soloLTR_As:1916	31.0953957665359	43.9426367481244	soloLTR	rnd-4_family-1379	N0.HOG0000010_OG0000006_n0	HC	As	930	LTR/Pao	5.4	47.250147040994	33.4359094263827	soloLTR	heligmosomoides_bakeri	2.19761085001254
soloLTR_As:1958	1.93401609110565	1.5475762354629	soloLTR	rnd-5_family-9305	N0.HOG0000027_OG0000016_n0	C	As	421	LTR/Pao	12.9	3.67595305335605	4.59386244918208	soloLTR	heligmosomoides_bakeri	-1.48651772216267
soloLTR_As:1988	7.02247377371428	1.33202636361376	soloLTR	rnd-5_family-3200	N0.HOG0000016_OG0000008_n0	HC	As	491	LTR/Pao	14.8	2.71288465094453	14.3023905778295	soloLTR	heligmosomoides_bakeri	-1.92480835681813
soloLTR_As:2132	22.8551385285313	28.9267355634973	soloLTR	rnd-5_family-3086	N0.HOG0000026_OG0000015_n0	C	As	481	LTR/Gypsy	22.9	60.1387433752542	47.515880516697	soloLTR	heligmosomoides_bakeri	2.54558675354695
soloLTR_As:2154	0.222217258545554	0.726605189477859	soloLTR	rnd-1_family-819	N0.HOG0000010_OG0000006_n0	HC	As	161	LTR/Pao	19.6	4.5130757110426	1.3802314195376	soloLTR	heligmosomoides_bakeri	-1.19052508253324
soloLTR_As:2168	64.4887280612287	73.0651972974607	soloLTR	rnd-1_family-977	N0.HOG0000010_OG0000006_n0	HC	As	769	LTR/Pao	11.7	95.0132604648384	83.8605046309866	soloLTR	heligmosomoides_bakeri	3.20542090735432
soloLTR_As:2272	26.9522567875613	32.6282444432333	soloLTR	rnd-5_family-8986	N0.HOG0000003_OG0000003_n0	C	As	217	LTR/Gypsy	23.8	150.360573471121	124.203948329775	soloLTR	heligmosomoides_bakeri	3.86764644884048
soloLTR_As:2289	14.5059311813403	16.6945336419569	soloLTR	rnd-5_family-461	N0.HOG0000010_OG0000006_n0	HC	As	759	LTR/Pao	8.5	21.9954329933556	19.1118987896446	soloLTR	heligmosomoides_bakeri	1.09449603289857
soloLTR_As:2320	9.02078944152623	9.0936404963573	soloLTR	rnd-4_family-450	N0.HOG0000010_OG0000006_n0	HC	As	629	LTR/Pao	14.3	14.4572980864186	14.3414776494853	soloLTR	heligmosomoides_bakeri	0.489089984337716
soloLTR_As:2496	6.11096752281462	7.20225241711665	soloLTR	rnd-4_family-1829	N0.HOG0000016_OG0000008_n0	HC	As	398	LTR/Pao	8.3	18.0961116007956	15.3541897558156	soloLTR	heligmosomoides_bakeri	0.812971762783145
soloLTR_As:2508	4.44629345318163	4.22057821680391	soloLTR	rnd-4_family-946	N0.HOG0000010_OG0000006_n0	HC	As	785	LTR/Pao	8.4	5.37653276025976	5.66406809322501	soloLTR	heligmosomoides_bakeri	-0.937959962085949
soloLTR_As:2510	2.00411635022441	1.85892520236434	soloLTR	rnd-5_family-3723	N0.HOG0000026_OG0000015_n0	C	As	445	LTR/Gypsy	3.8	4.17736000531313	4.50363224769531	soloLTR	heligmosomoides_bakeri	-1.30204458337293
soloLTR_As:2512	2.23087152074141	3.05040002078831	soloLTR	rnd-1_family-218	no_RT	Other	As	287	LTR	25	10.6285715010046	7.77307150084115	soloLTR	heligmosomoides_bakeri	0.0452397401571618
soloLTR_As:2528	3.25442536707642	2.87165732835343	soloLTR	rnd-5_family-2789	N0.HOG0000003_OG0000003_n0	C	As	363	LTR/Gypsy	10.7	7.91090173100118	8.96535913795156	soloLTR	heligmosomoides_bakeri	-0.380793912920084
soloLTR_As:2534	2.36999510013555	2.34850168440837	soloLTR	rnd-4_family-946	N0.HOG0000010_OG0000006_n0	HC	As	797	LTR/Pao	17.1	2.94667714480348	2.97364504408475	soloLTR	heligmosomoides_bakeri	-1.80554706483055
soloLTR_As:2562	31.9387020665101	25.5752410052075	soloLTR	rnd-5_family-842	N0.HOG0000003_OG0000003_n0	C	As	376	LTR/Gypsy	10.8	68.0192579925731	84.9433565598672	soloLTR	heligmosomoides_bakeri	2.72323529913187
soloLTR_As:2652	16.6883298731304	24.3699571269175	soloLTR	rnd-1_family-977	N0.HOG0000010_OG0000006_n0	HC	As	473	LTR/Pao	14.2	51.5221080907348	35.2818813385422	soloLTR	heligmosomoides_bakeri	2.32248365536056
soloLTR_As:2676	56.7210324583739	66.0551394222653	soloLTR	rnd-1_family-819	N0.HOG0000010_OG0000006_n0	HC	As	955	LTR/Pao	21.7	69.1676852589165	59.393751265313	soloLTR	heligmosomoides_bakeri	2.74739020756209
soloLTR_As:2678	3.09921563014145	6.28015088406202	soloLTR	rnd-1_family-977	N0.HOG0000010_OG0000006_n0	HC	As	633	LTR/Pao	15.2	9.92124942189892	4.89607524508919	soloLTR	heligmosomoides_bakeri	-0.0541142475328389
soloLTR_As:2684	1.18724867995723	1.93089278327025	soloLTR	rnd-5_family-1101	N0.HOG0000047_OG0000033_n0	C	As	188	LTR/Gypsy	18	10.2707062939907	6.31515255296398	soloLTR	heligmosomoides_bakeri	-0.00417257290280393
soloLTR_As:2738	26.7021495137754	31.9038225966674	soloLTR	rnd-5_family-3086	N0.HOG0000026_OG0000015_n0	C	As	464	LTR/Gypsy	17.4	68.7582383548866	57.5477360210676	soloLTR	heligmosomoides_bakeri	2.73882461325317
soloLTR_As:2762	4.06111119571098	6.24580987027066	soloLTR	rnd-1_family-819	N0.HOG0000010_OG0000006_n0	HC	As	481	LTR/Pao	25.7	12.9850517053444	8.44305861894175	soloLTR	heligmosomoides_bakeri	0.334143789763263
soloLTR_As:2838	2.23566903765244	1.52383142106263	soloLTR	rnd-5_family-3867	N0.HOG0000009_OG0000005_n23	HC	As	322	LTR/Gypsy	20.7	4.73239571758582	6.94307154550448	soloLTR	heligmosomoides_bakeri	-1.12206534858592
soloLTR_As:2860	2.80460592547658	3.04275579334547	soloLTR	rnd-5_family-458	N0.HOG0000026_OG0000015_n0	C	As	438	LTR/Gypsy	24.2	6.94693103503532	6.40320987551731	soloLTR	heligmosomoides_bakeri	-0.568260288646756
soloLTR_As:2882	27.0350573666303	28.7643846308651	soloLTR	rnd-5_family-453	N0.HOG0000026_OG0000015_n0	C	As	390	LTR/Gypsy	23.3	73.7548323868337	69.3206599144367	soloLTR	heligmosomoides_bakeri	2.84002960830463
soloLTR_As:2978	1.93964699351154	1.96724874041172	soloLTR	rnd-5_family-3200	N0.HOG0000016_OG0000008_n0	HC	As	131	LTR/Pao	0	15.0171659573414	14.8064655993247	soloLTR	heligmosomoides_bakeri	0.54390460388369
soloLTR_As:3198	1.40657037204957	1.73580790206688	soloLTR	rnd-5_family-5298	N0.HOG0000003_OG0000003_n0	C	As	240	LTR/Gypsy	25.1	7.23253292527867	5.86070988353986	soloLTR	heligmosomoides_bakeri	-0.510135077963857
soloLTR_As:3218	3.34553794236629	3.50777693829246	soloLTR	rnd-5_family-4668	N0.HOG0000027_OG0000016_n0	C	As	543	LTR/Pao	2.2	6.45999436149625	6.16121168023257	soloLTR	heligmosomoides_bakeri	-0.67310315815156
soloLTR_As:3228	4.97509709956498	4.79969361709074	soloLTR	rnd-5_family-4970	N0.HOG0000010_OG0000006_n0	HC	As	348	LTR/Pao	4.6	13.7922230376171	14.2962560332327	soloLTR	heligmosomoides_bakeri	0.421147040973666
soloLTR_As:3230	2.29793506101005	2.34390880877411	soloLTR	rnd-5_family-2347	N0.HOG0000016_OG0000008_n0	HC	As	512	LTR/Pao	0.6	4.57794689213693	4.48815441603526	soloLTR	heligmosomoides_bakeri	-1.16993533726903
soloLTR_As:3246	2.46903187671463	2.88784469661725	soloLTR	rnd-5_family-2920	N0.HOG0000047_OG0000033_n0	C	As	251	LTR/Gypsy	13	11.5053573570409	9.83678038531727	soloLTR	heligmosomoides_bakeri	0.159597825495883
soloLTR_As:3340	141.593591611996	187.65697462571	soloLTR	rnd-4_family-450	N0.HOG0000010_OG0000006_n0	HC	As	556	LTR/Pao	20	337.512544290845	254.664733115101	soloLTR	heligmosomoides_bakeri	5.0341612495815
soloLTR_As:3436	317.906546945045	266.091186036211	soloLTR	rnd-1_family-819	N0.HOG0000010_OG0000006_n0	HC	As	411	LTR/Pao	26.2	647.423810307083	773.495248041473	soloLTR	heligmosomoides_bakeri	5.9739305504588
soloLTR_As:3438	809.496638509358	1137.41858469514	soloLTR	rnd-4_family-613	N0.HOG0000010_OG0000006_n0	HC	As	996	LTR/Pao	3.7	1141.98653081842	812.74762902546	soloLTR	heligmosomoides_bakeri	6.79269385573165
soloLTR_As:3442	2.44737990850468	0.512857321207097	soloLTR	rnd-5_family-1101	N0.HOG0000047_OG0000033_n0	C	As	269	LTR/Gypsy	13.6	1.90653279259144	9.09806657436684	soloLTR	heligmosomoides_bakeri	-2.43368471803357
soloLTR_As:3526	6.62734922837277	6.50263870597166	soloLTR	rnd-5_family-3867	N0.HOG0000009_OG0000005_n23	HC	As	447	LTR/Gypsy	21	14.547290169959	14.8262846272321	soloLTR	heligmosomoides_bakeri	0.49804246786279
soloLTR_As:3532	4.86272483793384	1.93739173790787	soloLTR	rnd-4_family-915	N0.HOG0000009_OG0000005_n23	HC	As	124	LTR/Gypsy	23.4	15.6241269186119	39.2155228865632	soloLTR	heligmosomoides_bakeri	0.60106760479988
soloLTR_As:3626	6.4393603278155	4.92872234954511	soloLTR	rnd-4_family-946	N0.HOG0000010_OG0000006_n0	HC	As	781	LTR/Pao	14.7	6.31078405831641	8.24501962588413	soloLTR	heligmosomoides_bakeri	-0.706816805575474
soloLTR_As:3648	7.78609499407326	4.65793014155802	soloLTR	rnd-5_family-5298	N0.HOG0000003_OG0000003_n0	C	As	467	LTR/Gypsy	9.8	9.97415447871096	16.6725802870948	soloLTR	heligmosomoides_bakeri	-0.0464415163446592
soloLTR_As:3672	1.41321056623195	2.69655361221304	soloLTR	rnd-5_family-4027	N0.HOG0000027_OG0000016_n0	C	As	194	LTR/Pao	17.7	13.8997608876961	7.2845905475874	soloLTR	heligmosomoides_bakeri	0.432352096077328
soloLTR_As:3706	7.7688699429391	11.6080735483235	soloLTR	rnd-5_family-924	N0.HOG0000010_OG0000006_n0	HC	As	870	LTR/Pao	1.8	13.342613273935	8.92973556659666	soloLTR	heligmosomoides_bakeri	0.373333290384084
soloLTR_As:3716	21.9976578444289	25.0944095329985	soloLTR	rnd-5_family-273	N0.HOG0000027_OG0000016_n0	C	As	582	LTR/Pao	11.4	43.1175421529185	37.7966629629362	soloLTR	heligmosomoides_bakeri	2.06556697294196
soloLTR_As:3720	0.0741809114710312	0.102617044554482	soloLTR	rnd-1_family-807	no_RT	Other	As	171	LTR/Pao	10.5	0.600099675757207	0.433806499830592	soloLTR	heligmosomoides_bakeri	-4.10136200837513
soloLTR_As:3894	2.01198445432245	2.33699054274053	soloLTR	rnd-1_family-807	no_RT	Other	As	268	LTR/Pao	1.9	8.72011396544974	7.50740468030765	soloLTR	heligmosomoides_bakeri	-0.240289073753627
soloLTR_As:3914	3.41622497223447	2.35026820311535	soloLTR	rnd-1_family-807	no_RT	Other	As	268	LTR/Pao	2.3	8.76965747431099	12.7471081053525	soloLTR	heligmosomoides_bakeri	-0.232115568917304
soloLTR_As:4012	7.7727554054755	9.26035519266754	soloLTR	rnd-1_family-706	N0.HOG0000070_OG0000056_n0	C	As	299	LTR/Gypsy	1.3	30.9710876008948	25.9958374765067	soloLTR	heligmosomoides_bakeri	1.58821407757092
soloLTR_As:4110	8.60468084804674	14.5207873548677	soloLTR	rnd-1_family-977	N0.HOG0000010_OG0000006_n0	HC	As	800	LTR/Pao	14	18.1509841935847	10.7558510600584	soloLTR	heligmosomoides_bakeri	0.817339808069938
soloLTR_As:4128	4.99274239291465	3.74617571193295	soloLTR	rnd-5_family-4164	N0.HOG0000016_OG0000008_n0	HC	As	207	LTR/Pao	26.5	18.0974672074055	24.1195284681867	soloLTR	heligmosomoides_bakeri	0.813079833164623
