adult_polyP	IP_polyP	LTR_type	family	HOG	cons	strand	length	div	sFam	rpkm_adult_polyP	rpkm_IP_polyP	LTR_type2	species	log2RPKM_centered
soloLTR_As:439	5.32273218968074	5.4368918960283	soloLTR	rnd-4_family-3213	N0.HOG0000047_OG0000033_n0	C	As	413	0	LTR/Gypsy	12.8879714035853	13.1643871574535	soloLTR	heligmosomoides_polygyrus	-0.0260220864132115
soloLTR_As:457	0.800223150985236	2.75270777482818	soloLTR	rnd-1_family-977	no_RT	Other	As	954	18.2	LTR/Pao	0.838808334366076	2.8854379191071	soloLTR	heligmosomoides_polygyrus	-2.21580025096326
soloLTR_As:459	0.440856460428666	1.94056469758358	soloLTR	rnd-1_family-513	N0.HOG0000003_OG0000003_n0	C	As	196	12.2	LTR/Pao	2.2492676552483	9.90084029379376	soloLTR	heligmosomoides_polygyrus	-0.437039569076801
soloLTR_As:528	132.652959078922	242.861638130972	soloLTR	rnd-5_family-1335	N0.HOG0000010_OG0000006_n0	HC	As	821	3.5	LTR/Pao	161.57485880502	295.811983107153	soloLTR	heligmosomoides_polygyrus	4.46394614344473
soloLTR_As:532	41.3178384562244	26.2239948831735	soloLTR	rnd-1_family-806	no_RT	Other	As	755	17.1	LTR/Pao	54.7256138493038	34.7337680571834	soloLTR	heligmosomoides_polygyrus	1.37367648101388
soloLTR_As:576	3.25649911626374	8.41484815864856	soloLTR	rnd-4_family-2167	no_RT	Other	As	577	8.3	LTR/Pao	5.64384595539643	14.5837923026838	soloLTR	heligmosomoides_polygyrus	0.121703472786052
soloLTR_As:586	0.217525813098302	1.25637744987131	soloLTR	rnd-5_family-7920	N0.HOG0000003_OG0000003_n0	C	As	441	11.6	LTR/Gypsy	0.493255812014291	2.84892845775807	soloLTR	heligmosomoides_polygyrus	-2.23417114919062
soloLTR_As:652	2.25181336296833	3.49000435228417	soloLTR	rnd-1_family-242	no_RT	Other	As	360	5	LTR/Gypsy	6.25503711935647	9.6944565341227	soloLTR	heligmosomoides_polygyrus	-0.467430518462467
soloLTR_As:670	84.9649568716151	61.2520890545552	soloLTR	rnd-1_family-806	no_RT	Other	As	758	14.2	LTR/Pao	112.090972126141	80.8075053490174	soloLTR	heligmosomoides_polygyrus	2.5918268482987
soloLTR_As:726	2.31752528529341	2.37098520974575	soloLTR	rnd-1_family-242	no_RT	Other	As	370	3.8	LTR/Gypsy	6.26358185214434	6.40806813444798	soloLTR	heligmosomoides_polygyrus	-1.06470105494189
soloLTR_As:790	24.548575141831	16.7157373453953	soloLTR	rnd-4_family-417	N0.HOG0000016_OG0000008_n0	HC	As	720	25.9	LTR/Pao	34.0952432525431	23.2163018686045	soloLTR	heligmosomoides_polygyrus	0.792475735709864
soloLTR_As:804	2.60305715267123	3.21038215568547	soloLTR	rnd-5_family-3287	N0.HOG0000010_OG0000006_n0	HC	As	825	3.5	LTR/Pao	3.15522079111665	3.89137230992178	soloLTR	heligmosomoides_polygyrus	-1.78431152454587
soloLTR_As:814	15.6182395414645	11.2423927164331	soloLTR	rnd-5_family-3287	N0.HOG0000010_OG0000006_n0	HC	As	845	9.7	LTR/Pao	18.4831237177095	13.3046067650096	soloLTR	heligmosomoides_polygyrus	-0.0107365772287706
soloLTR_As:826	8.3436073089171	5.80250122549689	soloLTR	rnd-5_family-2597	N0.HOG0000010_OG0000006_n0	HC	As	791	7.2	LTR/Pao	10.5481761174679	7.33565262388988	soloLTR	heligmosomoides_polygyrus	-0.869665219916046
soloLTR_As:848	6.64450860565264	4.08663544563311	soloLTR	rnd-5_family-2597	N0.HOG0000010_OG0000006_n0	HC	As	746	7.5	LTR/Pao	8.90684799685341	5.47806360004439	soloLTR	heligmosomoides_polygyrus	-1.29092452661668
soloLTR_As:865	30.3599945990595	14.2505963225278	soloLTR	rnd-5_family-3287	N0.HOG0000010_OG0000006_n0	HC	As	848	11.9	LTR/Pao	35.8018804234192	16.8049484935469	soloLTR	heligmosomoides_polygyrus	0.326223673366581
soloLTR_As:923	2.94536427146047	4.61707104864555	soloLTR	rnd-5_family-3287	N0.HOG0000010_OG0000006_n0	HC	As	826	10.5	LTR/Pao	3.56581630927417	5.58967439303336	soloLTR	heligmosomoides_polygyrus	-1.26182629602115
soloLTR_As:927	250.740644118843	382.181831317957	soloLTR	rnd-1_family-806	no_RT	Other	As	776	19.5	LTR/Pao	323.119386751087	492.502359945821	soloLTR	heligmosomoides_polygyrus	5.19939628501287
soloLTR_As:949	70.7776979339877	112.370399079189	soloLTR	rnd-4_family-417	N0.HOG0000016_OG0000008_n0	HC	As	258	22.9	LTR/Pao	274.332162534836	435.544182477476	soloLTR	heligmosomoides_polygyrus	5.02208472353321
soloLTR_As:995	8.69576377397635	8.04276563628965	soloLTR	rnd-5_family-4388	N0.HOG0000026_OG0000015_n0	C	As	451	7.1	LTR/Gypsy	19.2810726695706	17.8331832290236	soloLTR	heligmosomoides_polygyrus	0.411901799997783
soloLTR_As:1023	27.28106827475	26.8431813641939	soloLTR	rnd-5_family-497	N0.HOG0000010_OG0000006_n0	HC	As	601	12	LTR/Pao	45.3927924704659	44.6641952815206	soloLTR	heligmosomoides_polygyrus	1.73645632153225
soloLTR_As:1085	2.81682728843047	5.12339621498203	soloLTR	rnd-5_family-4195	no_RT	Other	As	288	17.2	LTR/Gypsy	9.78065030705024	17.7895701909098	soloLTR	heligmosomoides_polygyrus	0.408369206966546
soloLTR_As:1091	0.723180088910424	4.6791769171122	soloLTR	rnd-5_family-1753	N0.HOG0000070_OG0000056_n0	C	As	185	17.6	LTR/Gypsy	3.90908156167797	25.2928482006065	soloLTR	heligmosomoides_polygyrus	0.916067059008781
soloLTR_As:1101	73.9411413023522	63.9242055662612	soloLTR	rnd-5_family-94	no_RT	Other	As	534	3.9	LTR/Pao	138.466556745978	119.708250124085	soloLTR	heligmosomoides_polygyrus	3.1587882316194
soloLTR_As:1179	1.08995900310752	1.10483742779539	soloLTR	rnd-4_family-416	no_RT	Other	As	207	3.6	LTR/Pao	5.26550243047111	5.33737887823862	soloLTR	heligmosomoides_polygyrus	-1.32845911651669
soloLTR_As:1215	14.7641653884584	20.8065336183635	soloLTR	rnd-5_family-3287	N0.HOG0000010_OG0000006_n0	HC	As	805	7	LTR/Pao	18.3405781223086	25.8466256128739	soloLTR	heligmosomoides_polygyrus	0.947313495360957
soloLTR_As:1221	1.16379105160423	2.48261412370449	soloLTR	rnd-5_family-2597	N0.HOG0000010_OG0000006_n0	HC	As	793	3.5	LTR/Pao	1.46758014073674	3.13066093783669	soloLTR	heligmosomoides_polygyrus	-2.09812327464835
soloLTR_As:1225	14.5306158706439	5.39960039341081	soloLTR	rnd-5_family-4192	no_RT	Other	As	193	12.9	LTR/Gypsy	75.2881651328699	27.9772041109368	soloLTR	heligmosomoides_polygyrus	1.06158934715178
soloLTR_As:1291	68.3493720839374	88.4278673064635	soloLTR	rnd-5_family-1335	N0.HOG0000010_OG0000006_n0	HC	As	821	4.4	LTR/Pao	83.2513667283038	107.707511944535	soloLTR	heligmosomoides_polygyrus	3.00638452000472
soloLTR_As:1299	15.9539086121498	13.6207531392032	soloLTR	rnd-5_family-2597	N0.HOG0000010_OG0000006_n0	HC	As	787	1.9	LTR/Pao	20.2718025567342	17.3071831501946	soloLTR	heligmosomoides_polygyrus	0.368708488890703
soloLTR_As:1301	7.38887036319641	11.6731663440398	soloLTR	rnd-5_family-113	N0.HOG0000027_OG0000016_n0	C	As	354	21.5	LTR/Pao	20.8725151502723	32.975046169604	soloLTR	heligmosomoides_polygyrus	1.29871223196279
soloLTR_As:1327	25.6148665423978	32.4963847826876	soloLTR	rnd-5_family-5530	N0.HOG0000003_OG0000003_n0	C	As	489	20.5	LTR/Gypsy	52.3821401685027	66.4547746067231	soloLTR	heligmosomoides_polygyrus	2.30971040971159
soloLTR_As:1343	6.58419083752713	14.6135012610332	soloLTR	rnd-5_family-4388	N0.HOG0000026_OG0000015_n0	C	As	465	12.9	LTR/Gypsy	14.1595501882304	31.4268844323294	soloLTR	heligmosomoides_polygyrus	1.22933680725147
soloLTR_As:1375	2.00590579166265	2.59385060125119	soloLTR	rnd-5_family-5049	N0.HOG0000003_OG0000003_n0	C	As	192	18.8	LTR/Gypsy	10.447425998243	13.5096385481833	soloLTR	heligmosomoides_polygyrus	0.0113266282335331
soloLTR_As:1379	12.1038662888734	11.3795248712835	soloLTR	rnd-5_family-6480	N0.HOG0000003_OG0000003_n0	C	As	317	12.4	LTR/Gypsy	38.1825434980232	35.8975547990016	soloLTR	heligmosomoides_polygyrus	1.42122312916574
soloLTR_As:1397	70.8966179601357	78.9818832229239	soloLTR	rnd-5_family-3287	N0.HOG0000010_OG0000006_n0	HC	As	525	11.1	LTR/Pao	135.041177066925	150.441682329379	soloLTR	heligmosomoides_polygyrus	3.48846999206501
soloLTR_As:1489	19.8484482903607	22.3788836006811	soloLTR	rnd-5_family-3287	N0.HOG0000010_OG0000006_n0	HC	As	838	4.3	LTR/Pao	23.685499153175	26.7051116953235	soloLTR	heligmosomoides_polygyrus	0.994453470892061
soloLTR_As:1535	4.24312140384302	6.02544178298382	soloLTR	rnd-4_family-2628	no_RT	Other	As	487	5.8	LTR/Pao	8.71277495655652	12.3725703962707	soloLTR	heligmosomoides_polygyrus	-0.11551719675023
soloLTR_As:1589	102.845437198949	143.597081180509	soloLTR	rnd-5_family-9016	no_RT	Other	As	525	15	LTR/Pao	195.89607085514	273.518249867636	soloLTR	heligmosomoides_polygyrus	4.35090274409321
soloLTR_As:1715	26.7769758586818	33.5057536231284	soloLTR	rnd-4_family-417	N0.HOG0000016_OG0000008_n0	HC	As	757	18.2	LTR/Pao	35.3724912267923	44.2612333198526	soloLTR	heligmosomoides_polygyrus	1.72338120427642
soloLTR_As:1835	6.03813185506075	58.6135296625263	soloLTR	rnd-5_family-4388	N0.HOG0000026_OG0000015_n0	C	As	446	16.8	LTR/Gypsy	13.5384122310779	131.42047009535	soloLTR	heligmosomoides_polygyrus	3.29345565521395
soloLTR_As:1837	16.4699266093921	9.84528967360742	soloLTR	rnd-4_family-2628	no_RT	Other	As	393	18.4	LTR/Pao	41.9082102020155	25.0516276682123	soloLTR	heligmosomoides_polygyrus	0.902241894558973
soloLTR_As:1947	34.6321750500317	25.2947872604192	soloLTR	rnd-4_family-2628	no_RT	Other	As	489	6.4	LTR/Pao	70.8224438650954	51.7275813096507	soloLTR	heligmosomoides_polygyrus	1.94827128775935
soloLTR_As:1965	1.62767101755291	1.87908994943712	soloLTR	rnd-1_family-977	no_RT	Other	As	915	19.7	LTR/Pao	1.77887542901957	2.05365021796407	soloLTR	heligmosomoides_polygyrus	-2.70640006265649
soloLTR_As:1983	0.21844400441932	2.53093134942428	soloLTR	rnd-3_family-1424	N0.HOG0000183_OG0000169_-	LC	As	393	24.7	LTR/Pao	0.555837161372316	6.44002887894218	soloLTR	heligmosomoides_polygyrus	-1.05752338456047
soloLTR_As:1999	12.7675204590121	14.5019444070541	soloLTR	rnd-1_family-242	no_RT	Other	As	225	14.2	LTR/Gypsy	56.7445353733869	64.4530862535736	soloLTR	heligmosomoides_polygyrus	2.26558699436005
soloLTR_As:2013	11.823069536932	12.7026057069364	soloLTR	rnd-5_family-5530	N0.HOG0000003_OG0000003_n0	C	As	495	21	LTR/Gypsy	23.884988963499	25.6618297109826	soloLTR	heligmosomoides_polygyrus	0.936961592030574
soloLTR_As:2055	177.798339178521	143.698770373886	soloLTR	rnd-1_family-806	no_RT	Other	As	759	16.9	LTR/Pao	234.2534113024	189.326443180351	soloLTR	heligmosomoides_polygyrus	3.82014157339629
soloLTR_As:2107	32.8090179566632	42.2877328283073	soloLTR	rnd-1_family-806	no_RT	Other	As	788	5.5	LTR/Pao	41.6358095896741	53.6646355689178	soloLTR	heligmosomoides_polygyrus	2.00130923296741
soloLTR_As:2193	11.8734444218314	17.9056370948428	soloLTR	rnd-5_family-9026	N0.HOG0000199_OG0000185_-	LC	As	198	6.1	LTR/Gypsy	59.9668910193505	90.432510580014	soloLTR	heligmosomoides_polygyrus	2.75417906874562
soloLTR_As:2255	14.2913265158794	7.94854250393889	soloLTR	rnd-5_family-2076	N0.HOG0000003_OG0000003_n0	C	As	534	16.2	LTR/Gypsy	26.7627837376019	14.8849110560653	soloLTR	heligmosomoides_polygyrus	0.151188153372892
soloLTR_As:2301	89.8811828286304	107.22393164155	soloLTR	rnd-4_family-120	N0.HOG0000010_OG0000006_n0	HC	As	935	13.1	LTR/Pao	96.1296073033481	114.678001755669	soloLTR	heligmosomoides_polygyrus	3.09685431859897
soloLTR_As:2385	26.7135106693002	16.6787414758634	soloLTR	rnd-5_family-18778	N0.HOG0000003_OG0000003_n0	C	As	605	3.2	LTR/Gypsy	44.1545630897524	27.5681677286999	soloLTR	heligmosomoides_polygyrus	1.04034093677934
soloLTR_As:2393	29.6872188012441	29.3422404087045	soloLTR	rnd-4_family-417	N0.HOG0000016_OG0000008_n0	HC	As	733	25	LTR/Pao	40.5009806292553	40.0303416216979	soloLTR	heligmosomoides_polygyrus	1.57843148034992
soloLTR_As:2435	37.0440800411209	56.0369698651885	soloLTR	rnd-4_family-160	N0.HOG0000027_OG0000016_n0	C	As	488	1.8	LTR/Pao	75.9100000842642	114.829856281124	soloLTR	heligmosomoides_polygyrus	3.09876344541192
soloLTR_As:2457	2.28756756994807	1.98953448195822	soloLTR	rnd-5_family-1334	N0.HOG0000016_OG0000008_n0	HC	As	401	6	LTR/Pao	5.70465728166601	4.96143262333722	soloLTR	heligmosomoides_polygyrus	-1.43383378060234
soloLTR_As:2489	10.572054331935	6.9668713068243	soloLTR	rnd-5_family-2597	N0.HOG0000010_OG0000006_n0	HC	As	784	3.8	LTR/Pao	13.4847631784885	8.88631544237793	soloLTR	heligmosomoides_polygyrus	-0.593005187986154
soloLTR_As:2495	32.2968612106201	37.4549384075604	soloLTR	rnd-5_family-4388	N0.HOG0000026_OG0000015_n0	C	As	445	4.5	LTR/Gypsy	72.5772162036407	84.1684009158661	soloLTR	heligmosomoides_polygyrus	2.65061626088345
soloLTR_As:2541	33.0216813387954	23.9576661354018	soloLTR	rnd-5_family-1753	N0.HOG0000070_OG0000056_n0	C	As	224	21.4	LTR/Gypsy	147.418220262479	106.953866675901	soloLTR	heligmosomoides_polygyrus	2.99625428823241
soloLTR_As:2671	3.93184765664113	10.4416566816414	soloLTR	rnd-5_family-3395	N0.HOG0000027_OG0000016_n0	C	As	493	21.9	LTR/Pao	7.9753502163106	21.1798309972442	soloLTR	heligmosomoides_polygyrus	0.660028630020173
soloLTR_As:2689	5.61511344070354	2.78030125184719	soloLTR	rnd-4_family-2167	no_RT	Other	As	328	17.5	LTR/Pao	17.1192482948279	8.47652820685118	soloLTR	heligmosomoides_polygyrus	-0.661117051684053
soloLTR_As:2793	9.33004397960323	6.35098559763924	soloLTR	rnd-4_family-2628	no_RT	Other	As	489	6.2	LTR/Pao	19.0798445390659	12.9877006086692	soloLTR	heligmosomoides_polygyrus	-0.0455164142462046
soloLTR_As:3069	0.805839899314057	0.774073953435709	soloLTR	rnd-1_family-977	no_RT	Other	As	934	18.1	LTR/Pao	0.862783618109268	0.828772969417247	soloLTR	heligmosomoides_polygyrus	-4.01554168723402
soloLTR_As:3137	50.9588476997078	71.7155510726804	soloLTR	rnd-5_family-5429	N0.HOG0000026_OG0000015_n0	C	As	313	10.5	LTR/Gypsy	162.807820126862	229.123166366391	soloLTR	heligmosomoides_polygyrus	4.09538898256934
soloLTR_As:3151	3.32979426964062	2.28843359962243	soloLTR	rnd-5_family-2005	N0.HOG0000113_OG0000099_n0	LC	As	275	1.1	LTR/Pao	12.1083427986932	8.32157672589976	soloLTR	heligmosomoides_polygyrus	-0.687733634306084
soloLTR_As:3273	1.8630898443679	2.18311394468942	soloLTR	rnd-4_family-3812	N0.HOG0000009_OG0000005_n23	HC	As	244	18.5	LTR/Gypsy	7.63561411626187	8.94718829790744	soloLTR	heligmosomoides_polygyrus	-0.583156163458572
soloLTR_As:3297	6.46767057802758	8.12178667666753	soloLTR	rnd-5_family-3917	N0.HOG0000010_OG0000006_n0	HC	As	482	1.2	LTR/Pao	13.4184036888539	16.8501798271111	soloLTR	heligmosomoides_polygyrus	0.330101540614211
soloLTR_As:3465	9.10173564958592	13.1432149597812	soloLTR	rnd-5_family-223	N0.HOG0000003_OG0000003_n0	C	As	552	1.4	LTR/Gypsy	16.4886515391049	23.8101720285892	soloLTR	heligmosomoides_polygyrus	0.828915596636298
soloLTR_As:3515	1.30652626177235	1.33707782605212	soloLTR	rnd-5_family-7920	N0.HOG0000003_OG0000003_n0	C	As	392	26.4	LTR/Gypsy	3.33297515758253	3.41091282156154	soloLTR	heligmosomoides_polygyrus	-1.9744326603367
soloLTR_As:3681	3.10166397293029	5.26841748746976	soloLTR	rnd-5_family-4195	no_RT	Other	As	299	9.4	LTR/Gypsy	10.3734581034458	17.6201253761531	soloLTR	heligmosomoides_polygyrus	0.394561742316667
soloLTR_As:3733	0.952091512089479	2.4453090921219	soloLTR	rnd-1_family-154	N0.HOG0000201_OG0000187_-	LC	As	295	14.4	LTR/Pao	3.22742885454061	8.28918336312509	soloLTR	heligmosomoides_polygyrus	-0.69336056562363
soloLTR_As:3761	9.94443606447681	13.4130066186502	soloLTR	rnd-5_family-3287	N0.HOG0000010_OG0000006_n0	HC	As	837	12.6	LTR/Pao	11.8810466720153	16.0250975133216	soloLTR	heligmosomoides_polygyrus	0.257670688237249
soloLTR_As:3763	29.7796280530334	22.1158756009616	soloLTR	rnd-4_family-120	N0.HOG0000010_OG0000006_n0	HC	As	935	10.2	LTR/Pao	31.8498695754368	23.653342888729	soloLTR	heligmosomoides_polygyrus	0.819381644245783
soloLTR_As:3945	38.0914448525262	42.4549188642273	soloLTR	rnd-1_family-806	no_RT	Other	As	780	13.7	LTR/Pao	48.835185708367	54.4293831592658	soloLTR	heligmosomoides_polygyrus	2.02172323880351
soloLTR_As:4014	21.6183936359738	11.1233340059474	soloLTR	rnd-5_family-2597	N0.HOG0000010_OG0000006_n0	HC	As	787	6	LTR/Pao	27.4693692960277	14.1338424472013	soloLTR	heligmosomoides_polygyrus	0.0764912847045349
soloLTR_As:4016	4841.4351292764	5895.67124557415	soloLTR	rnd-5_family-9016	no_RT	Other	As	541	13.2	LTR/Pao	8949.04829810795	10897.7287348875	soloLTR	heligmosomoides_polygyrus	9.66714932223644
soloLTR_As:4040	5.54341182664595	8.93826425647431	soloLTR	rnd-5_family-7916	N0.HOG0000003_OG0000003_n0	C	As	400	14.6	LTR/Gypsy	13.8585295666149	22.3456606411858	soloLTR	heligmosomoides_polygyrus	0.737332250621216
soloLTR_As:4046	42.1670732753236	28.6682512218036	soloLTR	rnd-5_family-1335	N0.HOG0000010_OG0000006_n0	HC	As	794	13.8	LTR/Pao	53.1071451830272	36.1061098511381	soloLTR	heligmosomoides_polygyrus	1.42958054214863
soloLTR_As:4052	30.4361092809654	27.9655382288954	soloLTR	rnd-4_family-664	N0.HOG0000003_OG0000003_n0	C	As	349	10.5	LTR/Gypsy	87.2094821804166	80.1304820312189	soloLTR	heligmosomoides_polygyrus	2.5796887078787
soloLTR_As:4082	13.233886271806	9.22074588162372	soloLTR	rnd-5_family-2597	N0.HOG0000010_OG0000006_n0	HC	As	799	7.1	LTR/Pao	16.563061666841	11.5403577992788	soloLTR	heligmosomoides_polygyrus	-0.215974493240024
soloLTR_As:4132	36.0915364847495	49.7125502913593	soloLTR	rnd-5_family-4522	N0.HOG0000003_OG0000003_n0	C	As	600	13.5	LTR/Gypsy	60.1525608079159	82.8542504855988	soloLTR	heligmosomoides_polygyrus	2.62791326320283
soloLTR_As:4352	4.43887411613897	3.14466804538273	soloLTR	rnd-1_family-242	no_RT	Other	As	370	4	LTR/Gypsy	11.9969570706459	8.49910282535872	soloLTR	heligmosomoides_polygyrus	-0.657279985561761
soloLTR_As:4434	2.13071613218183	4.23416615935562	soloLTR	rnd-5_family-7920	N0.HOG0000003_OG0000003_n0	C	As	421	12.9	LTR/Gypsy	5.06108344936301	10.0574018036951	soloLTR	heligmosomoides_polygyrus	-0.41440479533154
soloLTR_As:4857	373.369257786245	229.230312341628	soloLTR	rnd-5_family-1607	N0.HOG0000026_OG0000015_n0	C	As	409	21.8	LTR/Gypsy	912.883270871014	560.465311348725	soloLTR	heligmosomoides_polygyrus	5.38589073105745
soloLTR_As:4867	48.244339597789	33.8327730546394	soloLTR	rnd-5_family-2597	N0.HOG0000010_OG0000006_n0	HC	As	793	2.8	LTR/Pao	60.8377548521929	42.6642787574267	soloLTR	heligmosomoides_polygyrus	1.67036621187565
soloLTR_As:4895	10.1801382880354	23.313299811477	soloLTR	rnd-4_family-2759	N0.HOG0000047_OG0000033_n0	C	As	803	14.5	LTR/Gypsy	12.6776317410155	29.0327519445542	soloLTR	heligmosomoides_polygyrus	1.11501888054331
soloLTR_As:5051	3.56089631602492	3.88695978258125	soloLTR	rnd-1_family-242	no_RT	Other	As	371	3.2	LTR/Gypsy	9.5981032776952	10.4769805460411	soloLTR	heligmosomoides_polygyrus	-0.355439453790308
soloLTR_As:5183	47.3271514274824	50.2791044354018	soloLTR	rnd-1_family-806	no_RT	Other	As	741	14.6	LTR/Pao	63.869300172041	67.8530424229444	soloLTR	heligmosomoides_polygyrus	2.33975105776776
soloLTR_As:5207	19.7699037184765	44.4808730775861	soloLTR	rnd-4_family-2759	N0.HOG0000047_OG0000033_n0	C	As	736	8.6	LTR/Gypsy	26.8612822261909	60.435968855416	soloLTR	heligmosomoides_polygyrus	2.17274498690291
soloLTR_As:5347	2.97551326582171	11.045541772995	soloLTR	rnd-1_family-513	N0.HOG0000003_OG0000003_n0	C	As	194	10.3	LTR/Pao	15.3376972465036	56.9357823350259	soloLTR	heligmosomoides_polygyrus	2.08667317819387
soloLTR_As:5381	1.08062845359875	1.30077043379163	soloLTR	rnd-4_family-2364	N0.HOG0000047_OG0000033_n0	C	As	155	14.2	LTR/Gypsy	6.97179647483062	8.39206731478474	soloLTR	heligmosomoides_polygyrus	-0.67556429220993
soloLTR_As:5505	22.8472221643544	15.8013535443055	soloLTR	rnd-5_family-4388	N0.HOG0000026_OG0000015_n0	C	As	442	5.9	LTR/Gypsy	51.6905478831548	35.749668652275	soloLTR	heligmosomoides_polygyrus	1.41526742276937
soloLTR_As:5723	2.65433358020251	1.86484297931031	soloLTR	rnd-4_family-2220	N0.HOG0000003_OG0000003_n0	C	As	670	15	LTR/Gypsy	3.96169191075002	2.78334773031389	soloLTR	heligmosomoides_polygyrus	-2.26776938309023
soloLTR_As:5811	5.33562397412858	3.83224620462448	soloLTR	rnd-3_family-908	no_RT	Other	As	484	3.1	LTR/Gypsy	11.0240164754723	7.91786405914149	soloLTR	heligmosomoides_polygyrus	-0.759479244251978
soloLTR_As:5817	4.17158923456525	4.05066178606937	soloLTR	rnd-1_family-513	N0.HOG0000003_OG0000003_n0	C	As	199	1.5	LTR/Pao	20.9627599726897	20.3550843521074	soloLTR	heligmosomoides_polygyrus	0.602726752576661
soloLTR_As:5861	34.2551973714264	21.9117607928763	soloLTR	rnd-1_family-154	N0.HOG0000201_OG0000187_-	LC	As	304	3.6	LTR/Pao	112.681570300745	72.0781605028825	soloLTR	heligmosomoides_polygyrus	2.42689974530651
soloLTR_As:5957	367.374161149389	232.754833279497	soloLTR	rnd-1_family-806	no_RT	Other	As	754	8	LTR/Pao	487.233635476644	308.693412837529	soloLTR	heligmosomoides_polygyrus	4.5254403452285
soloLTR_As:6033	0.218963790007977	0.130532280773205	soloLTR	rnd-3_family-650	N0.HOG0000003_OG0000003_n0	C	As	92	9.8	LTR/Gypsy	2.38004119573888	1.41882913883919	soloLTR	heligmosomoides_polygyrus	-3.23988967770545
soloLTR_As:6077	15.148584100747	12.037825941176	soloLTR	rnd-5_family-2566	N0.HOG0000176_OG0000162_-	LC	As	185	2.2	LTR/Pao	81.8842383824163	65.0693294117621	soloLTR	heligmosomoides_polygyrus	2.27931523826651
soloLTR_As:6085	37.4713470124591	47.316466319007	soloLTR	rnd-5_family-2597	N0.HOG0000010_OG0000006_n0	HC	As	782	2.6	LTR/Pao	47.9173235453441	60.5069901777583	soloLTR	heligmosomoides_polygyrus	2.17443937444125
soloLTR_As:6320	1.60672252806252	1.18386930260357	soloLTR	rnd-4_family-785	no_RT	Other	As	524	10.8	LTR/Gypsy	3.06626436653153	2.25929256222056	soloLTR	heligmosomoides_polygyrus	-2.56871944086192
soloLTR_As:6336	2.67671243068674	5.25469812456946	soloLTR	rnd-1_family-513	N0.HOG0000003_OG0000003_n0	C	As	121	18.5	LTR/Pao	22.121590336254	43.4272572278468	soloLTR	heligmosomoides_polygyrus	1.69593839066647
soloLTR_As:6340	1.17969015541711	1.32787543331774	soloLTR	rnd-5_family-7920	N0.HOG0000003_OG0000003_n0	C	As	422	9.3	LTR/Gypsy	2.79547430193629	3.1466242495681	soloLTR	heligmosomoides_polygyrus	-2.09078563118336
