adult_polyP	IP_polyP	LTR_type	family	HOG	cons	strand	length	sFam	div	rpkm_adult_polyP	rpkm_IP_polyP	LTR_type2	species	log2RPKM_centered
soloLTR_As:1308	1.67655242324362	4.31152833867425	soloLTR	rnd-5_family-5134	N0.HOG0000009_OG0000005_n23	HC	As	315	LTR/Gypsy	21.6	5.32238864521783	13.6873915513468	soloLTR	ancylostoma_ceylanicum	-1.74220702155984
soloLTR_As:1440	80.7687543638092	93.2144071109869	soloLTR	rnd-1_family-215	no_RT	Other	As	237	LTR/Pao	18.7	340.796431914807	393.309734645514	soloLTR	ancylostoma_ceylanicum	3.10253943367198
soloLTR_As:1452	0.717490776465324	3.08207507619178	soloLTR	rnd-1_family-215	no_RT	Other	As	142	LTR/Pao	10.7	5.0527519469389	21.7047540576886	soloLTR	ancylostoma_ceylanicum	-1.07704348035833
soloLTR_As:1468	4.79039563445505	7.23300161270812	soloLTR	rnd-5_family-5134	N0.HOG0000009_OG0000005_n23	HC	As	170	LTR/Gypsy	20.8	28.1787978497356	42.5470683100478	soloLTR	ancylostoma_ceylanicum	-0.105994828512958
soloLTR_As:1582	3.82518353384075	9.54983659528265	soloLTR	rnd-5_family-5134	N0.HOG0000009_OG0000005_n23	HC	As	382	LTR/Gypsy	21.4	10.0135694603161	24.9995722389598	soloLTR	ancylostoma_ceylanicum	-0.873151145955577
soloLTR_As:1584	13.8766050989892	42.4784809805356	soloLTR	rnd-5_family-196-1	no_RT	Other	As	417	LTR/Gypsy	17.2	33.2772304532114	101.866860864594	soloLTR	ancylostoma_ceylanicum	1.15355833239886
soloLTR_As:1676	16.9862034154921	8.47246138086822	soloLTR	rnd-5_family-196-1	no_RT	Other	As	197	LTR/Gypsy	10.7	86.2243828197569	43.007418176996	soloLTR	ancylostoma_ceylanicum	-0.0904690295253276
soloLTR_As:1692	5.50785322988	5.70098939909048	soloLTR	rnd-5_family-8682	N0.HOG0000009_OG0000005_n23	HC	As	175	LTR/Gypsy	1.7	31.4734470278857	32.577082280517	soloLTR	ancylostoma_ceylanicum	-0.491197158737748
soloLTR_As:1744	9.79927440580738	41.65215638637	soloLTR	rnd-5_family-5134	N0.HOG0000009_OG0000005_n23	HC	As	382	LTR/Gypsy	10	25.6525508005429	109.037058603063	soloLTR	ancylostoma_ceylanicum	1.25169208886889
soloLTR_As:1850	0.478439161856532	2.62161682694379	soloLTR	rnd-1_family-215	no_RT	Other	As	277	LTR/Pao	16.3	1.7272171908178	9.46432067488732	soloLTR	ancylostoma_ceylanicum	-2.27448369374288
soloLTR_As:2440	82.8384787921213	132.408221409377	soloLTR	rnd-5_family-192-1	N0.HOG0000027_OG0000016_n0	C	As	228	LTR/Pao	18.9	363.326661368953	580.737813199022	soloLTR	ancylostoma_ceylanicum	3.66476051375654
soloLTR_As:2464	4.30668586347512	4.46644730925812	soloLTR	rnd-5_family-5134	N0.HOG0000009_OG0000005_n23	HC	As	147	LTR/Gypsy	14.3	29.2971827447287	30.3839953010757	soloLTR	ancylostoma_ceylanicum	-0.59174296799709
soloLTR_As:2654	1.91305253497202	6.62993379524484	soloLTR	rnd-5_family-103-1	N0.HOG0000010_OG0000006_n0	HC	As	292	LTR/Pao	20.5	6.55154977730144	22.7052527234412	soloLTR	ancylostoma_ceylanicum	-1.01202846054689
soloLTR_As:2748	32.5373044595191	19.2217642206411	soloLTR	rnd-1_family-215	no_RT	Other	As	272	LTR/Pao	18.1	119.622442865879	70.6682508111806	soloLTR	ancylostoma_ceylanicum	0.626007644205462
soloLTR_As:2854	28.2904092158967	22.3812888953167	soloLTR	rnd-5_family-5134	N0.HOG0000009_OG0000005_n23	HC	As	384	LTR/Gypsy	12.8	73.6729406663977	58.2846064982205	soloLTR	ancylostoma_ceylanicum	0.348060349193589
soloLTR_As:2872	8.37376693459609	15.2915762922619	soloLTR	rnd-1_family-215	no_RT	Other	As	246	LTR/Pao	18.2	34.039702986163	62.1608792368369	soloLTR	ancylostoma_ceylanicum	0.440952354660383
soloLTR_As:2926	49.778914510088	71.0052821197807	soloLTR	rnd-5_family-136-1	no_RT	Other	As	358	LTR/Gypsy	9.6	139.047247234883	198.338776870896	soloLTR	ancylostoma_ceylanicum	2.11484030335744
soloLTR_As:2974	0.478682672312295	2.92863803202687	soloLTR	rnd-5_family-90-1	no_RT	Other	As	170	LTR/Gypsy	1.8	2.81578042536644	17.2272825413345	soloLTR	ancylostoma_ceylanicum	-1.41035940895935
soloLTR_As:3102	20.5673906603288	26.6402415032224	soloLTR	rnd-4_family-3545	N0.HOG0000003_OG0000003_n0	C	As	386	LTR/Gypsy	19.6	53.2833954930799	69.0161696974674	soloLTR	ancylostoma_ceylanicum	0.591879852921366
soloLTR_As:3114	1.67578982302882	2.15309727363402	soloLTR	rnd-5_family-1468	N0.HOG0000032_OG0000021_n0	C	As	159	LTR/Pao	17.9	10.5395586354014	13.5414922870064	soloLTR	ancylostoma_ceylanicum	-1.75766782126437
soloLTR_As:3236	99.3294638467814	309.140211987669	soloLTR	rnd-4_family-94	N0.HOG0000009_OG0000005_n23	HC	As	310	LTR/Gypsy	6.9	320.417625312198	997.226490282802	soloLTR	ancylostoma_ceylanicum	4.44479474643406
soloLTR_As:3324	31.5838750074406	30.688595467679	soloLTR	rnd-5_family-24-1	N0.HOG0000086_OG0000072_n0	C	As	285	LTR/Pao	11.9	110.820614061195	107.679282342733	soloLTR	ancylostoma_ceylanicum	1.23361423927229
soloLTR_As:3374	3.35085971985439	3.08904845885619	soloLTR	rnd-5_family-196-1	no_RT	Other	As	471	LTR/Gypsy	15.8	7.11435184682461	6.55848929693458	soloLTR	ancylostoma_ceylanicum	-2.80361911217529
soloLTR_As:3508	16.7452541199458	13.2281241390762	soloLTR	rnd-5_family-48-1	N0.HOG0000016_OG0000008_n0	HC	As	607	LTR/Pao	22	27.5869095880491	21.7926262587746	soloLTR	ancylostoma_ceylanicum	-1.07121448742707
soloLTR_As:3776	73.7468282278618	110.6985510633	soloLTR	rnd-5_family-196-1	no_RT	Other	As	459	LTR/Gypsy	17.9	160.668471084666	241.1733138634	soloLTR	ancylostoma_ceylanicum	2.39694381941696
soloLTR_As:3828	10.7614758933471	6.31528322250972	soloLTR	rnd-5_family-686	N0.HOG0000009_OG0000005_n23	HC	As	229	LTR/Gypsy	8.7	46.9933445124327	27.5776559934922	soloLTR	ancylostoma_ceylanicum	-0.731554717567383
soloLTR_As:3862	1.67350556137906	3.23259234548156	soloLTR	rnd-5_family-5134	N0.HOG0000009_OG0000005_n23	HC	As	367	LTR/Gypsy	12.5	4.55996065770861	8.8081535299225	soloLTR	ancylostoma_ceylanicum	-2.37814303445038
soloLTR_As:3900	3.58951475942148	2.46683252144916	soloLTR	rnd-1_family-215	no_RT	Other	As	251	LTR/Pao	13.7	14.300855615225	9.82801801374166	soloLTR	ancylostoma_ceylanicum	-2.22008214835639
soloLTR_As:3932	130.030274269251	94.5604371525187	soloLTR	rnd-5_family-134-1	N0.HOG0000027_OG0000016_n0	C	As	465	LTR/Pao	17.8	279.634998428497	203.355778822621	soloLTR	ancylostoma_ceylanicum	2.1508795282884
soloLTR_As:3984	854.912931041329	1325.79318172143	soloLTR	rnd-5_family-136-1	no_RT	Other	As	409	LTR/Gypsy	17.1	2090.25166513773	3241.54812156829	soloLTR	ancylostoma_ceylanicum	6.14548462452767
soloLTR_As:4026	0.957835399755346	1.38881605992919	soloLTR	rnd-4_family-407	no_RT	Other	As	178	LTR/Gypsy	22.1	5.38109775143453	7.80233741533253	soloLTR	ancylostoma_ceylanicum	-2.55307626071013
soloLTR_As:4028	52.2200798796157	71.8162549476803	soloLTR	rnd-5_family-96-1	N0.HOG0000003_OG0000003_n0	C	As	130	LTR/Gypsy	20.9	401.69292215089	552.432730366772	soloLTR	ancylostoma_ceylanicum	3.59267233789106
soloLTR_As:4036	38.4942469510584	37.8003804809084	soloLTR	rnd-1_family-215	no_RT	Other	As	254	LTR/Pao	17.5	151.552153350624	148.820395594127	soloLTR	ancylostoma_ceylanicum	1.70044579841877
soloLTR_As:4128	22.5249002562038	57.8546941847252	soloLTR	rnd-5_family-5134	N0.HOG0000009_OG0000005_n23	HC	As	326	LTR/Gypsy	14.6	69.0947860619748	177.468387069709	soloLTR	ancylostoma_ceylanicum	1.95443559568618
soloLTR_As:4140	114.923671128239	115.019481220712	soloLTR	rnd-5_family-440	N0.HOG0000016_OG0000008_n0	HC	As	507	LTR/Pao	9.8	226.673907550767	226.862882092135	soloLTR	ancylostoma_ceylanicum	2.30869412284389
soloLTR_As:4306	159.809481369753	349.984693660126	soloLTR	rnd-5_family-146-1	N0.HOG0000003_OG0000003_n0	C	As	430	LTR/Gypsy	0.9	371.649956673845	813.917892232851	soloLTR	ancylostoma_ceylanicum	4.15175680263938
soloLTR_As:4330	1.91390431576543	4.61961408934205	soloLTR	rnd-5_family-5134	N0.HOG0000009_OG0000005_n23	HC	As	375	LTR/Gypsy	10.4	5.10374484204115	12.3189709049121	soloLTR	ancylostoma_ceylanicum	-1.89417281344245
soloLTR_As:4366	169.809337721395	200.67872582998	soloLTR	rnd-4_family-3545	N0.HOG0000003_OG0000003_n0	C	As	376	LTR/Gypsy	0.8	451.620579046264	533.720015505265	soloLTR	ancylostoma_ceylanicum	3.54295665552541
soloLTR_As:4468	11.7213585341881	24.357140073814	soloLTR	rnd-4_family-126	N0.HOG0000003_OG0000003_n0	C	As	187	LTR/Gypsy	22.6	62.6810616801502	130.252085956224	soloLTR	ancylostoma_ceylanicum	1.50818001651212
soloLTR_As:4560	5.49851742375812	10.3189682913038	soloLTR	rnd-5_family-196-1	no_RT	Other	As	232	LTR/Gypsy	19.2	23.7005061368885	44.4783116004473	soloLTR	ancylostoma_ceylanicum	-0.0419525311776745
soloLTR_As:4698	37.5736900851712	37.732136492193	soloLTR	rnd-5_family-24-1	N0.HOG0000086_OG0000072_n0	C	As	380	LTR/Pao	15.5	98.8781318030821	99.2950960320869	soloLTR	ancylostoma_ceylanicum	1.11666791247363
soloLTR_As:4790	2.15269663736957	3.99688214585195	soloLTR	rnd-5_family-8682	N0.HOG0000009_OG0000005_n23	HC	As	153	LTR/Gypsy	18.4	14.0699126625462	26.1234127179866	soloLTR	ancylostoma_ceylanicum	-0.809711175072054
soloLTR_As:4792	38.2856259706494	32.942575413172	soloLTR	rnd-5_family-136-1	no_RT	Other	As	343	LTR/Gypsy	13	111.619900789065	96.0424939159534	soloLTR	ancylostoma_ceylanicum	1.06861831074165
soloLTR_As:4872	1.67502781302317	2.92594813639875	soloLTR	rnd-5_family-3935-1	N0.HOG0000010_OG0000006_n0	HC	As	312	LTR/Pao	17.2	5.36867888789477	9.37803889871394	soloLTR	ancylostoma_ceylanicum	-2.28769638721373
soloLTR_As:5004	14.5930252827935	5.54985756520768	soloLTR	rnd-5_family-5134	N0.HOG0000009_OG0000005_n23	HC	As	389	LTR/Gypsy	8.8	37.5142038118084	14.2669860288115	soloLTR	ancylostoma_ceylanicum	-1.68237396492589
soloLTR_As:5290	17.9501715491737	8.00429565890692	soloLTR	rnd-5_family-686	N0.HOG0000009_OG0000005_n23	HC	As	238	LTR/Gypsy	7.6	75.4208888620743	33.6314943651551	soloLTR	ancylostoma_ceylanicum	-0.44524167119723
soloLTR_As:5418	0.239403109122071	0.308191329687915	soloLTR	rnd-5_family-90-1	no_RT	Other	As	168	LTR/Gypsy	10.1	1.42501850667899	1.8344722005233	soloLTR	ancylostoma_ceylanicum	-4.64161760812794
soloLTR_As:5642	18.4524655257992	27.3987973125815	soloLTR	rnd-4_family-3545	N0.HOG0000003_OG0000003_n0	C	As	269	LTR/Gypsy	19.6	68.5965261182126	101.854265102534	soloLTR	ancylostoma_ceylanicum	1.1533799331936
soloLTR_As:5756	4.06968230329385	3.38733279025099	soloLTR	rnd-5_family-24-1	N0.HOG0000086_OG0000072_n0	C	As	370	LTR/Pao	17.2	10.9991413602537	9.15495348716483	soloLTR	ancylostoma_ceylanicum	-2.32243009411318
soloLTR_As:5862	5.50038297588746	1.38804737510453	soloLTR	rnd-5_family-440	N0.HOG0000016_OG0000008_n0	HC	As	511	LTR/Pao	19.4	10.7639588569226	2.71633537202452	soloLTR	ancylostoma_ceylanicum	-4.07532103761829
soloLTR_As:5904	54.5791847441548	91.8168754634919	soloLTR	rnd-5_family-136-1	no_RT	Other	As	368	LTR/Gypsy	14.2	148.31300202216	249.50237897688	soloLTR	ancylostoma_ceylanicum	2.44592711096654
soloLTR_As:6002	1.9147567289364	2.76997002729591	soloLTR	rnd-1_family-215	no_RT	Other	As	268	LTR/Pao	12.1	7.14461466021046	10.3357090570743	soloLTR	ancylostoma_ceylanicum	-2.14741719061508
soloLTR_As:6032	4.545157298328	3.54669577608444	soloLTR	rnd-1_family-215	no_RT	Other	As	264	LTR/Pao	13.8	17.2165049179091	13.4344536972896	soloLTR	ancylostoma_ceylanicum	-1.76911689912849
soloLTR_As:6202	21.0706135725782	36.1101216801152	soloLTR	rnd-4_family-94	N0.HOG0000009_OG0000005_n23	HC	As	293	LTR/Gypsy	20.1	71.9133569029971	123.242736109608	soloLTR	ancylostoma_ceylanicum	1.4283761564951
soloLTR_As:6280	41.6282345339201	21.0082547226925	soloLTR	rnd-1_family-215	no_RT	Other	As	196	LTR/Pao	18.1	212.388951703674	107.184973074962	soloLTR	ancylostoma_ceylanicum	1.2269761990267
soloLTR_As:6358	87.547514065385	48.9803031138838	soloLTR	rnd-5_family-8682	N0.HOG0000009_OG0000005_n23	HC	As	174	LTR/Gypsy	4.6	503.146632559684	281.495994907378	soloLTR	ancylostoma_ceylanicum	2.61998793535737
soloLTR_As:6424	11.500206226496	10.0133908618014	soloLTR	rnd-5_family-24-1	N0.HOG0000086_OG0000072_n0	C	As	254	LTR/Pao	16.8	45.2764024665198	39.4227986685095	soloLTR	ancylostoma_ceylanicum	-0.216024356933197
soloLTR_As:6468	2.39140985600027	3.39177882842293	soloLTR	rnd-1_family-471	no_RT	Other	As	237	LTR/Gypsy	3	10.0903369451488	14.3113030735145	soloLTR	ancylostoma_ceylanicum	-1.67789951709306
soloLTR_As:6634	53.6173645872373	83.7050443955013	soloLTR	rnd-5_family-136-1	no_RT	Other	As	306	LTR/Gypsy	9.2	175.220145709926	273.545896717324	soloLTR	ancylostoma_ceylanicum	2.57865645436511
soloLTR_As:6670	0.239403109122071	3.39029597939804	soloLTR	rnd-5_family-74-1	N0.HOG0000047_OG0000033_n0	C	As	168	LTR/Gypsy	15.6	1.42501850667899	20.1803332107026	soloLTR	ancylostoma_ceylanicum	-1.18210455955857
soloLTR_As:6684	520.075693926279	674.016469600756	soloLTR	rnd-5_family-196-1	no_RT	Other	As	472	LTR/Gypsy	8.9	1101.85528374212	1428.00099491686	soloLTR	ancylostoma_ceylanicum	4.96279861881409
soloLTR_As:6744	2.39550299459466	1.08024707418454	soloLTR	rnd-5_family-48-1	N0.HOG0000016_OG0000008_n0	HC	As	139	LTR/Pao	12.3	17.2338344934868	7.77156168478089	soloLTR	ancylostoma_ceylanicum	-2.55877811499279
soloLTR_As:6750	26.0921156485595	38.5296811851296	soloLTR	rnd-5_family-5134	N0.HOG0000009_OG0000005_n23	HC	As	370	LTR/Gypsy	11.1	70.5192314825933	104.134273473323	soloLTR	ancylostoma_ceylanicum	1.18531851709169
soloLTR_As:6828	166.2941000054	168.47307915043	soloLTR	rnd-5_family-24-1	N0.HOG0000086_OG0000072_n0	C	As	384	LTR/Pao	2.9	433.057552097397	438.731976954245	soloLTR	ancylostoma_ceylanicum	3.26021340033705
soloLTR_As:6830	53.4539388519334	82.1954965094294	soloLTR	rnd-5_family-5134	N0.HOG0000009_OG0000005_n23	HC	As	384	LTR/Gypsy	12.6	139.202965760243	214.050772159972	soloLTR	ancylostoma_ceylanicum	2.22482657928146
soloLTR_As:6832	58.9186461348287	52.0961721543085	soloLTR	rnd-5_family-84-1	no_RT	Other	As	245	LTR/Gypsy	6.2	240.484269938076	212.637437364524	soloLTR	ancylostoma_ceylanicum	2.2152691623569
soloLTR_As:6934	204.069361656525	263.408756531332	soloLTR	rnd-5_family-66-1	N0.HOG0000003_OG0000003_n0	C	As	443	LTR/Gypsy	7.7	460.653186583577	594.602159212938	soloLTR	ancylostoma_ceylanicum	3.69879824160122
soloLTR_As:6954	3.10962601083675	6.01538195734601	soloLTR	rnd-5_family-5134	N0.HOG0000009_OG0000005_n23	HC	As	404	LTR/Gypsy	11.1	7.69709408622957	14.8895593003614	soloLTR	ancylostoma_ceylanicum	-1.62075350166941
soloLTR_As:6966	0.478682672312295	3.08068291806521	soloLTR	rnd-1_family-215	no_RT	Other	As	274	LTR/Pao	12.8	1.74701705223465	11.2433683141066	soloLTR	ancylostoma_ceylanicum	-2.02598024927575
soloLTR_As:6972	0.478439161856532	2.46325290043187	soloLTR	rnd-4_family-126	N0.HOG0000003_OG0000003_n0	C	As	365	LTR/Gypsy	21.3	1.31079222426447	6.74863808337498	soloLTR	ancylostoma_ceylanicum	-2.76238626355529
soloLTR_As:7002	681.778073911477	1134.70765026872	soloLTR	rnd-5_family-196-1	no_RT	Other	As	473	LTR/Gypsy	3.2	1441.39127676845	2398.9590914772	soloLTR	ancylostoma_ceylanicum	5.71121019041204
soloLTR_As:7016	6.94011911299379	8.92608587084424	soloLTR	rnd-4_family-407	no_RT	Other	As	133	LTR/Gypsy	13.4	52.181346714239	67.1134276003326	soloLTR	ancylostoma_ceylanicum	0.551546884480655
soloLTR_As:7074	105.414457526395	190.293812715762	soloLTR	rnd-5_family-56-1	N0.HOG0000032_OG0000021_n0	C	As	388	LTR/Pao	14.1	271.686746202048	490.447970916913	soloLTR	ancylostoma_ceylanicum	3.4209736359279
soloLTR_As:7078	8.37138060185876	6.32586043520586	soloLTR	rnd-1_family-471	no_RT	Other	As	240	LTR/Gypsy	2.9	34.8807525077448	26.3577518133578	soloLTR	ancylostoma_ceylanicum	-0.796827234682844
soloLTR_As:7270	31.1638932945138	49.7229865307241	soloLTR	rnd-5_family-196-1	no_RT	Other	As	483	LTR/Gypsy	19	64.5215182081032	102.946141885557	soloLTR	ancylostoma_ceylanicum	1.16876330247972
soloLTR_As:7284	58.4310786938955	99.2578411044261	soloLTR	rnd-5_family-136-1	no_RT	Other	As	375	LTR/Gypsy	15.7	155.816209850388	264.68757627847	soloLTR	ancylostoma_ceylanicum	2.53116401961
soloLTR_As:7348	7.18274580815146	3.85504133862936	soloLTR	rnd-1_family-215	no_RT	Other	As	274	LTR/Pao	12.6	26.2144007596769	14.0694939366035	soloLTR	ancylostoma_ceylanicum	-1.70248411804399
soloLTR_As:7352	2.39550299459466	2.15959098197039	soloLTR	rnd-5_family-5134	N0.HOG0000009_OG0000005_n23	HC	As	380	LTR/Gypsy	12	6.30395524893332	5.68313416307996	soloLTR	ancylostoma_ceylanicum	-3.01029587653869
soloLTR_As:7406	2.63335710958382	3.39771859495829	soloLTR	rnd-1_family-215	no_RT	Other	As	279	LTR/Pao	19.3	9.43855594832912	12.1782028493129	soloLTR	ancylostoma_ceylanicum	-1.91075330661275
soloLTR_As:7436	474.410024206259	1047.98795875378	soloLTR	rnd-5_family-196-1	no_RT	Other	As	474	LTR/Gypsy	5.1	1000.86502997101	2210.94506066198	soloLTR	ancylostoma_ceylanicum	5.59346481064706
soloLTR_As:7448	2.39345502531261	3.08346807328202	soloLTR	rnd-5_family-84-1	no_RT	Other	As	84	LTR/Gypsy	1.2	28.4935122061025	36.7079532533574	soloLTR	ancylostoma_ceylanicum	-0.318961879986769
soloLTR_As:7456	467.600046838342	487.027574169086	soloLTR	rnd-4_family-126	N0.HOG0000003_OG0000003_n0	C	As	356	LTR/Gypsy	2.5	1313.48327763579	1368.05498362103	soloLTR	ancylostoma_ceylanicum	4.90092784916757
soloLTR_As:7468	26.0621785744956	53.255543918971	soloLTR	rnd-5_family-196-1	no_RT	Other	As	410	LTR/Gypsy	17.3	63.5662892060868	129.891570534076	soloLTR	ancylostoma_ceylanicum	1.50418134784052
soloLTR_As:7470	340.955606252213	538.074543266806	soloLTR	rnd-5_family-146-1	N0.HOG0000003_OG0000003_n0	C	As	424	LTR/Gypsy	7.2	804.140580783522	1269.04373411983	soloLTR	ancylostoma_ceylanicum	4.79254342286493
soloLTR_As:7588	3.82226617764811	8.0184607165103	soloLTR	rnd-5_family-5134	N0.HOG0000009_OG0000005_n23	HC	As	365	LTR/Gypsy	20.6	10.4719621305428	21.9683855246858	soloLTR	ancylostoma_ceylanicum	-1.05962570670968
soloLTR_As:7594	1.67426639266147	4.15496699139248	soloLTR	rnd-1_family-215	no_RT	Other	As	269	LTR/Pao	13.4	6.22403863442927	15.445973945697	soloLTR	ancylostoma_ceylanicum	-1.56782371253075
soloLTR_As:7596	2.87097577792315	4.00674221439802	soloLTR	rnd-5_family-134-1	N0.HOG0000027_OG0000016_n0	C	As	521	LTR/Pao	25.9	5.51051013037072	7.69048409673325	soloLTR	ancylostoma_ceylanicum	-2.573908235281
soloLTR_As:7602	365.433107152172	583.407024713145	soloLTR	rnd-5_family-96-1	N0.HOG0000003_OG0000003_n0	C	As	251	LTR/Gypsy	24.1	1455.90879343495	2324.33077574958	soloLTR	ancylostoma_ceylanicum	5.66561702772321
soloLTR_As:7612	5.0254577673783	4.00345224941914	soloLTR	rnd-5_family-24-1	N0.HOG0000086_OG0000072_n0	C	As	383	LTR/Pao	12.3	13.1212996537292	10.4528779358202	soloLTR	ancylostoma_ceylanicum	-2.13115434885945
soloLTR_As:7666	2.63225356339281	9.87601309264937	soloLTR	rnd-1_family-215	no_RT	Other	As	83	LTR/Pao	8.5	31.7138983541302	118.988109549992	soloLTR	ancylostoma_ceylanicum	1.37769095201083
soloLTR_As:7682	5.9808127634809	8.75857715335469	soloLTR	rnd-1_family-215	no_RT	Other	As	280	LTR/Pao	12.6	21.3600455838604	31.2806326905524	soloLTR	ancylostoma_ceylanicum	-0.54978486220132
soloLTR_As:7712	18.4457260129573	13.8355698796377	soloLTR	rnd-1_family-215	no_RT	Other	As	265	LTR/Pao	16.9	69.6065132564426	52.2096976590102	soloLTR	ancylostoma_ceylanicum	0.189263248728924
soloLTR_As:7732	246.631560173149	280.560131129191	soloLTR	rnd-5_family-136-1	no_RT	Other	As	408	LTR/Gypsy	11.3	604.489118071444	687.647380218606	soloLTR	ancylostoma_ceylanicum	3.90854249209092
soloLTR_As:7740	104.795025368106	77.8095869890047	soloLTR	rnd-5_family-70-1	N0.HOG0000003_OG0000003_n0	C	As	842	LTR/Gypsy	13.9	124.459650080886	92.4104358539248	soloLTR	ancylostoma_ceylanicum	1.01300122802631
soloLTR_As:7764	7.66154441647068	16.0007913650554	soloLTR	rnd-4_family-43	no_RT	Other	As	186	LTR/Gypsy	24.8	41.1910990132832	86.0257600271794	soloLTR	ancylostoma_ceylanicum	0.909714177572165
soloLTR_As:7782	1.67578982302882	0.616387561445588	soloLTR	rnd-5_family-184-1	no_RT	Other	As	230	LTR/Gypsy	22.1	7.28604270882095	2.67994591932864	soloLTR	ancylostoma_ceylanicum	-4.09477876263592
soloLTR_As:7788	97.8193533097368	131.911923799482	soloLTR	rnd-5_family-103-1	N0.HOG0000010_OG0000006_n0	HC	As	931	LTR/Pao	2.9	105.069122781672	141.688425133707	soloLTR	ancylostoma_ceylanicum	1.6295954452665
soloLTR_As:7800	17.6925553881466	13.8471248443597	soloLTR	rnd-5_family-440	N0.HOG0000016_OG0000008_n0	HC	As	509	LTR/Pao	6.9	34.7594408411524	27.2045674741841	soloLTR	ancylostoma_ceylanicum	-0.751205664331934
soloLTR_As:8110	64.6015016174935	47.6654341930169	soloLTR	rnd-5_family-8682	N0.HOG0000009_OG0000005_n23	HC	As	167	LTR/Gypsy	2.4	386.835339026907	285.421761634832	soloLTR	ancylostoma_ceylanicum	2.63996887493954
soloLTR_As:8212	8.8646770849789	10.1505934294199	soloLTR	rnd-5_family-103-1	N0.HOG0000010_OG0000006_n0	HC	As	456	LTR/Pao	18.2	19.4400813267081	22.2600733101314	soloLTR	ancylostoma_ceylanicum	-1.04059621150034
